x4,x3,x2,x1
9,26,9.4952e+05,1.3347
12.7,26,8.3956e+05,1.6096
12.7,26,8.4758e+05,1.5694
4.3,26,1.0264e+06,1.4251
16.3,26,7.9605e+05,1.6396
11.5,26,6.309e+05,1.2996
8,26,5.0819e+05,1.8237
6.1,26,9.645e+05,1.4251
8,26,5.072e+05,1.8656
8,26,5.1443e+05,1.8903
5.1,24,4.0627e+05,1.8348
9,24,2.7417e+05,1.2327
4.3,26,1.0231e+06,1.4251
8,26,4.701e+05,1.8308
6.1,26,1.0098e+06,1.4251
5.1,24,4.043e+05,1.7041
11.5,26,5.9955e+05,1.2402
3.7,24,4.1131e+05,1.749
11.5,26,6.2032e+05,1.2923
3.7,26,4.461e+05,1.7725
8,26,5.1716e+05,1.8893
8,26,5.2551e+05,1.8177
16.3,26,7.8207e+05,1.6333
3.7,26,4.5297e+05,1.8534
9,24,2.675e+05,1.2001
6.9,26,5.3001e+05,1.8554
3.7,26,4.3866e+05,1.8163
6.9,26,5.7359e+05,1.8127
5.1,26,3.8623e+05,1.8361
12.7,26,8.8976e+05,1.6333
5.5,26,3.3032e+05,1.7649
8,26,5.0741e+05,1.8066
8,26,4.817e+05,1.8311
6.1,26,9.7345e+05,1.4251
13.4,26,6.8861e+05,1.3287
9,24,2.6475e+05,1.2032
9,26,9.1651e+05,1.6223
16.3,26,7.8377e+05,1.5906
5.5,21,3.1594e+05,1.2388
3.7,26,4.528e+05,1.8463
13.4,26,6.736e+05,1.3149
12.7,26,8.4694e+05,1.6066
9,26,9.2834e+05,1.697
3.7,24,4.109e+05,1.7901
6.1,26,1.0104e+06,1.4251
6.9,26,5.2873e+05,1.8583
9,24,2.4904e+05,1.1898
16.3,26,7.7501e+05,1.6079
9,26,9.2092e+05,1.3732
6.9,26,5.7401e+05,1.8481
9,26,9.0979e+05,1.5653
5.1,26,3.92e+05,1.6864
8,26,4.7938e+05,1.7937
6.1,26,9.681e+05,1.4251
15.3,26,7.2138e+05,1.447
12.7,26,8.6383e+05,1.5794
12.7,26,8.6662e+05,1.5155
9,21,2.4058e+05,1.2337
15.3,26,7.6921e+05,1.5291
16.3,26,8.1291e+05,1.6072
3.7,24,4.1319e+05,1.7645
3.7,26,4.6202e+05,1.8791
5.1,26,3.9094e+05,1.7031
9,26,9.4288e+05,1.5435
5.5,26,2.9728e+05,1.1952
5.1,26,3.7848e+05,1.7591
12.7,26,8.736e+05,1.7321
5.1,24,3.9868e+05,1.7213
9,24,2.5648e+05,1.2243
5.1,26,3.6835e+05,1.7689
11.5,26,5.877e+05,1.2593
16.3,26,8.2042e+05,1.5384
11.5,26,5.8728e+05,1.2344
8,26,4.994e+05,1.8213
11.5,26,6.2888e+05,1.2467
12.2,21,2.2649e+05,1.2236
9,24,2.6237e+05,1.2554
8,26,5.2014e+05,1.9324
12.7,26,8.7867e+05,1.4283
15.3,26,7.4511e+05,1.4623
15.3,26,7.1899e+05,1.398
16.3,26,8.2298e+05,1.6057
13.4,26,6.5232e+05,1.2875
15.3,26,7.1244e+05,1.3612
4.3,26,1.0469e+06,1.4251
5.5,24,3.4224e+05,1.7386
12.7,26,8.8422e+05,1.5099
16.3,26,8.101e+05,1.6265
5.5,21,3.1696e+05,1.2021
12.7,26,8.7014e+05,1.4187
8,26,5.0006e+05,1.7684
16.3,26,7.9904e+05,1.6111
6.9,26,5.5425e+05,1.8067
5.5,24,3.3064e+05,1.7505
15.3,26,7.4708e+05,1.3449
9,26,9.0245e+05,1.5705
15.3,26,7.2297e+05,1.4107
13.4,26,7.0254e+05,1.4295
5.1,26,3.7023e+05,1.7479
13.4,26,7.2455e+05,0.00072531
